5,16,33,14,92,98,125,28,
15,43,94,56,275,221,333,79,
25,53,157,98,396,302,517,179,
35,58,163,118,416,363,646,224,
45,73,135,163,445,438,658,200,
55,34,98,108,516,441,539,184,
65,23,63,103,548,521,491,177,
75,15,62,73,514,560,604,145,
85,13,49,76,461,580,609,124,
95,11,41,88,377,529,647,149,
105,11,48,100,333,400,601,160,
115,16,44,88,259,334,506,199,
125,8,77,75,222,229,394,207,
135,6,117,97,265,201,324,201,
145,12,118,84,324,200,281,251,
155,3,96,98,344,214,273,258,
165,7,87,84,255,138,153,162,
175,1,30,35,95,28,52,66,
